1. create	[動] ～を創り出す ～を引き起こす
654. exception	[名] 例外
655. clue	[名] 手がかり ヒント
656. bond	[名] 絆 債券、束縛、接着剤
657. virus	[名] ウイルス 病原体
658. surgery	[名] 外科手術 外科、外科医学
659. insurance	[名] 保険 保険料、保険金
660. frame	[名] 枠、額縁、縁 骨組み、体格
661. shelter	[名] 避難、保護
662. territory	[名] 領土 領域、テリトリー
663. boundary	[名] 境界 限界
664. habitat	[名] 生息地 居住地
665. district	[名] 地区 行政区
666. conservation	[名] 保護 保存
667. harvest	[名] 収穫 収穫期、漁獲高
668. predator	[名] 捕食動物 略奪者
669. trap	[名] わな 苦境
670. trick	[名] こつ 策略、いたずら、芸当
671. fault	[名] 責任 欠点、誤り
672. discount	[名] 割引
673. bias	[名] 偏見 傾向
674. cooperation	[名] 協力、共同
675. patent	[名] 特許 特許品
676. dialogue	[名] 対話、会話 意見の交換
677. component	[名] 構成要素 部品
678. reputation	[名] 評判 名声
679. verbal	[形] 言葉の 口頭での、動詞の
680. internal	[形] 内部の 国内の、内面的な
681. solid	[形] しっかりした 硬い、固体の
682. remote	[形] 遠く離れた かけ離れた
683. principal	[形] 主要な 資本金の
684. sophisticated	[形] 高性能の、精巧な 洗練された
685. equivalent	[形] 等しい、相当する
686. rational	[形] 理性的な 合理的な
687. relevant	[形] 関係がある 適切な
688. absolute	[形] 絶対的な
689. frequent	[形] 頻繁な
690. permanent	[形] 永続的な
691. intense	[形] 強烈な 熱烈な
692. meaningful	[形] 意味のある
693. evil	[形] 邪悪な 有害な
694. extinct	[形] 絶滅した 廃止された
695. random	[形] 無作為の 手当たり次第の
696. raw	[形] 生の 未加工の
697. rude	[形] 無礼な 粗野な
698. mere	[形] 単なる、ほんの
699. tropical	[形] 熱帯の
700. forth	[副] 前へ、先へ それ以降
701. possess	[動] ～を所有している ～の心をとらえる
702. dominate	[動] ～を支配する 優勢である
703. guarantee	[動] ～を保証する
704. melt	[動] 溶ける なごむ、～を溶かす
705. embarrass	[動] ～に恥ずかしい思いをさせる
706. discourage	[動] ～にやる気をなくさせる ～を落胆させる
707. detect	[動] ～を感知する ～を見つけ出す、～に気付く
708. devote	[動] ～をささげる
709. urge	[動] ～に促す ～を強く主張する、～を駆り立てる
710. lend	[動] ～を貸す （助言・援助など）を与える
711. restrict	[動] ～を制限する
712. isolate	[動] ～を孤立させる
713. accompany	[動] ～に同行する ～に付随する
714. exhaust	[動] ～を疲れ果てさせる ～を使い尽くす、排気する
715. annoy	[動] ～を悩ます （受身形で）腹が立つ
716. endanger	[動] ～を危険にさらす
717. acknowledge	[動] 事実などを認める ～に謝意を表す
718. admire	[動] ～に敬服・感心する
719. evaluate	[動] ～を評価する ～を査定する
720. declare	[動] ～を宣言する ～を申告する
721. secure	[動] ～を確保する ～を守る
722. specialize	[動] 専門とする ～を専攻する
723. attribute	[動] （結果など）を～に帰する
724. pretend	[動] ふりをする
725. bury	[動] ～を埋める ～を埋葬する、～を隠す
726. reverse	[動] ～を逆転させる ～を反対にする
727. resist	[動] ～に抵抗する ～を我慢する
728. scare	[動] ～をおびえさせる ～を脅す
729. imitate	[動] ～をまねる ～を模造する
730. assist	[動] 援助する ～を手伝う
731. resemble	[動] ～に似ている
732. retire	[動] 引退する、退職する 退く
733. neglect	[動] ～をおろそかにする、怠る ～を無視する
734. collapse	[動] 崩壊する 倒れる、～を折りたたむ
735. reform	[動] ～を改革する ～を改心させる
736. protest	[動] 抗議する ～を主張する
737. owe	[動] ～に借りがある ～のおかげである
738. sustain	[動] ～を持続させる ～を支える
739. assign	[動] ～を割り当てる ～を配属する
740. accomplish	[動] ～を成し遂げる
741. wisdom	[名] 知恵 賢明さ、学識
742. literacy	[名] 読み書きの能力 特定分野の知識
743. heritage	[名] 遺産
744. mission	[名] 使命 使節団、布教
745. license	[名] 免許 許可
746. elite	[名] エリート
747. layer	[名] 層
748. motor	[名] モーター 原動力
749. protein	[名] タンパク質
750. profession	[名] 職業 専門職、同業者仲間
751. editor	[名] 編集者 編集長
752. agent	[名] 仲介者、代理人 薬剤
753. globe	[名] 地球、世界 球
754. haven	[名] 避難所、保護区 港
755. row	[名] 列 通り
756. sacrifice	[名] 犠牲 いけにえ
757. means	[名] 手段 資力、収入
758. session	[名] 集まり 会期、議会
759. league	[名] 連盟 同盟
760. contest	[名] コンテスト、協議 争い
761. guard	[名] 警備員 警察隊、監視、警戒
762. opponent	[名] 相手 反対者
763. glance	[名] ちらっと見ること
764. divorce	[名] 離婚 分離
765. tissue	[名] 生物の組織 ティッシュペーパー
766. liquid	[名] 液体
767. inequality	[名] 不平等 不公平な事柄
768. prejudice	[名] 偏見
769. justice	[名] 公正、正義 司法
770. guideline	[名] 指針、ガイドライン 指導基準
771. platform	[名] プラットフォーム 演壇、舞台
772. sector	[名] 部門、セクター 地域
773. channel	[名] チャンネル 伝達経路、海峡
774. glacier	[名] 氷河
775. primate	[名] 霊長目の動物
776. usage	[名] 使用法 語法、習慣
777. fortune	[名] 財産 幸運、運命
778. correlation	[名] 相互関係、相関関係
779. artistic	[形] 芸術的な
780. literacy	[形] 文学の
781. classic	[形] 第一級の 典型的な、定番の
782. liberal	[形] 自由主義の 寛大な、一般教養の
783. concrete	[形] 具体的な 有形の
784. slight	[形] わずかな とるに足らない
785. federal	[形] 連邦の
786. primitive	[形] 原始的な 未開の
787. unfamiliar	[形] 不慣れな 知られていない
788. subtle	[形] 微妙な 希薄な
789. plain	[形] 明らかな 平易な、飾り気のない、率直な
790. marine	[形] 海の 船舶の
791. apparent	[形] 明白な 一見～らしい
792. reluctant	[形] 気が進まない、嫌がる
793. temporary	[形] 一時的な
794. guilty	[形] 罪悪感のある 有罪の
795. royal	[形] 王の
796. pure	[形] 純粋な 潔白の、まったくの
797. incredible	[形] 信じられない すばらしい
798. eager	[形] 熱望して 熱心な
799. adequate	[形] 十分な 適切な
800. via	[前] ～経由で ～の媒介で
801. assess	[動] ～を評価する ～を査定する
802. approve	[動] 賛成する ～を承認する
803. remark	[動] ～と述べる 意見を述べる
804. pose	[動] （危険を）引き起こす （問題などを）提起する、ポーズをとる、～を装う
805. yield	[動] ～をもたらす ～に譲る、～に屈す
806. exhibit	[動] ～を示す、見せる ～を展示する
807. distribute	[動] ～を分配する （受動で）分布する
808. command	[動] ～を命じる ～を指揮する、景色を見渡せる
809. occupy	[動] （時間・空間）を占める ～を占領する
810. pop	[動] ひょいと動く 不意に現れる、ポンとはじける
811. pile	[動] ～を積み重ねる 積み重なる
812. greet	[動] ～を挨拶する ～を迎える
813. apologize	[動] 謝る 弁明する
814. frustrate	[動] ～をいらだたせる ～を挫折させる
815. relieve	[動] ～を和らげる （受動で）安心する
816. derive	[動] 由来する ～を引き出す、～を推論する
817. deserve	[動] ～に値する
818. peer	[動] じっと見る
819. defeat	[動] ～を任す ～を失敗させる
820. convert	[動] ～を変える ～改宗させる、～を交換する
821. wed	[動] ～と結婚する ～を結婚させる
822. delight	[動] ～を喜ばせる 大いに喜ぶ
823. boost	[動] ～を押し上げる ～を増加させる
824. endure	[動] ～に耐える 持ちこたえる
825. correspond	[動] 一致する 相当する、文通する
826. impose	[動] ～を課す ～を押し付ける
827. rescue	[動] ～を救う
828. resolve	[動] ～を解決する ～決意する、～を議決する
829. register	[動] ～を記録する、登録する 登録する
830. interrupt	[動] ～を中断させる 邪魔をする
831. rid	[動] ～から取り除く、除去する
832. prohibit	[動] ～を禁止する
833. compose	[動] ～を構成する ～を創作する、～を鎮静する
834. misunderstand	[動] 誤解する
835. punish	[動] ～を罰する ～に損傷を与える
836. ruin	[動] ～をだめにする ～を破滅させる、破滅する
837. defend	[動] ～を防御する ～を弁護する
838. embrace	[動] ～を受け入れる 抱擁する、～を包含する
839. modify	[動] ～を修正する ～を緩和する
840. qualify	[動] ～に資格を与える 資格がある
841. passion	[名] 情熱 熱中、激怒
842. enthusiasm	[名] 情熱、熱意
843. phase	[名] 段階、局面 側面
844. mode	[名] 方式 気分、形態、流行
845. span	[名] 期間 範囲
846. gravity	[名] 重力、引力 重量、重大さ
847. orbit	[名] 軌道 （活力・勢力などの）範囲
848. asteroid	[名] 小惑星 ヒトデ
849. core	[名] 核心 芯
850. soul	[名] 精神 魂、霊魂、生気
851. nerve	[名] 神経 神経過敏、度胸
852. infection	[名] 感染、感染症
853. mall	[名] モール、ショッピングセンター
854. grocery	[名] 食料雑貨 食料雑貨店
855. humor	[名] ユーモア 気分、機嫌、気質
856. instinct	[名] 本能 勘、直感、衝動
857. faith	[名] 信頼 信仰心
858. courage	[名] 勇気
859. incentive	[名] 動機 報奨金
860. prospect	[名] 見込み 未来への展望、有望な人
861. obstacle	[名] 障害
862. architecture	[名] 建築 建築様式、構造
863. stem	[名] 草木の茎、幹
864. illusion	[名] 錯覚、思い違い 幻想
865. discrimination	[名] 差別 区別
866. shame	[名] 恥 残念なこと
867. drought	[名] 干ばつ 慢性的な不足
868. flavor	[名] 風味 特色
869. portion	[名] 部分 １人前、割り当て
870. recipe	[名] 調理法、レシピ 手順、秘訣
871. luxury	[名] 贅沢 豪華な
872. chip	[名] 小片、破片 欠けた場所、集積回路
873. ritual	[名] 儀式 習慣的行為
874. sake	[名] ～のために、～の目的で
875. prefecture	[名] 日本の県 フランスなどの県
876. council	[名] 地方議会 評議会、公の会議
877. administration	[名] 管理 行政、政府
878. curriculum	[名] 教育課程、カリキュラム
879. precious	[形] 貴重な 高価な
880. generous	[形] 寛大な 気前の良い
881. casual	[形] 何気ない 形式ばらない
882. optimistic	[形] 楽観的な
883. rough	[形] 粗い 大まかな、乱暴な
884. unpleasant	[形] 不愉快な 不親切な、無礼な
885. Arctic	[形] 北極の
886. ultimate	[形] 究極の
887. deaf	[形] 耳が聞こえない
888. genuine	[形] 本物の 偽りのない
889. manual	[形] 手を使う 手の、手動式の
890. mechanical	[形] 機械の 機械的な
891. instant	[形] 即時の、すぐの 即時の
892. spare	[形] 余分の、予備の
893. immune	[形] 免疫を持つ ～を免れた
894. harsh	[形] 厳しい 不快な
895. collective	[形] 集団の、共同の
896. inevitable	[形] 避けられない
897. profound	[形] 重大な 深い、難解な
898. steady	[形] 着実な、一定の 安定した
899. mature	[形] 成熟した 熟した
900. likewise	[副] 同様に
901. chase	[動] 追跡する 追求する
902. sue	[動] ～を告訴する 訴訟を起こす
903. gaze	[動] じっと見る
904. slip	[動] 滑る 滑り落ちる、そっと動く
905. load	[動] ～に積む ～に負わせる
906. overwhelm	[動] ～を圧倒する ～を打ちのめす
907. wander	[動] 歩き回る それる、はぐれる
908. float	[動] 漂う、浮かぶ ～を浮かべる
909. pour	[動] ～を注ぐ 激しく降る、押し寄せる
910. substitute	[動] ～を代わりに使う 代理をする
911. pronounce	[動] ～を発音する ～を宣言する
912. shrink	[動] 縮む、縮小する 減少する、ひるむ
913. restore	[動] ～を回復させる ～を修復する
914. trigger	[動] ～を引き起こす ～のきっかけとなる
915. grab	[動] ～をつかむ ～を横取りする、～を急いで食べる
916. retain	[動] ～を保持する ～を覚えている
917. reproduce	[動] ～を複製する ～を繁殖させる、繁殖する
918. bob	[動] 上下に動く 急に動く、～を上下に動かす
919. entertain	[動] ～を楽しませる ～をもてなす
920. interfere	[動] 干渉する、介入する 邪魔する
921. cultivate	[動] ～を養う ～を耕す、～を栽培する
922. underlie	[動] ～の根底にある
923. anticipate	[動] ～を予期する 楽しみに待つ
924. justify	[動] ～を正当化する
925. regulate	[動] ～を規制する ～を調整する
926. scan	[動] ～を走査（スキャン）する ～をざっと見る、～を注意深く調べる
927. classify	[動] ～を分類する ～を機密扱いにする
928. submit	[動] ～を提出する ～に従う
929. pause	[動] 一時的に中止する 立ち止まる
930. lean	[動] 傾く 寄りかかる、～をもたせかける
931. bump	[動] ぶつかる ～をぶつける
932. fold	[動] ～を折りたたむ 腕を組む、折りたためる
933. hesitate	[動] 躊躇する、ためらう
934. pump	[動] ポンプで送り込む ～をくみ出す、～を注ぎ込む
935. mount	[動] ～を据え付ける ～に着手する、乗る、増える
936. exceed	[動] ～を超える ～に勝る
937. undergo	[動] ～を経験する 手術などを受ける、～に耐える
938. confront	[動] ～に立ち向かう ～に立ちはだかる
939. consult	[動] 相談する ～を参照する
940. fulfill	[動] ～を実現させる ～を果たす、～を満たす
941. privilege	[名] 特権、特典
942. formation	[名] 形成 構成、隊列
943. dimension	[名] 側面、局面 次元、寸法
944. neuron	[名] ニューロン、神経単位
945. sensation	[名] 感覚 大評判
946. chart	[名] 図、グラフ 海図、ヒットチャート
947. geography	[名] 地理 地理学
948. panel	[名] 一団 討論者一同、羽目板
949. semester	[名] ２学期制の学期
950. workforce	[名] 労働人口、総労働力 全従業員
951. mill	[名] 製造工場 製粉所、粉ひき機
952. abuse	[名] 乱用 虐待
953. vice	[名] 悪 欠点
954. fate	[名] 運命 結末、最期
955. tragedy	[名] 悲劇
956. scenario	[名] 筋書き、事態 脚本
957. allergy	[名] アレルギー
958. wound	[名] 傷 痛手
959. antibiotic	[名] 抗生物質
960. vaccine	[名] ワクチン
961. metaphor	[名] 隠喩 比喩
962. folk	[名] 人々 みなさん、家族
963. fare	[名] 乗り物の料金
964. transition	[名] 移り変わり 過渡期
965. maximum	[名] 最大限
966. galaxy	[名] 星雲、銀河 銀河系
967. mineral	[名] 鉱物 ミネラル
968. skeleton	[名] 骨格 骨組み、概略
969. counterpart	[名] 相当する人、物
970. stroke	[名] 脳卒中 打つこと、雷などの一撃
971. pedestrian	[名] 歩行者
972. trail	[名] 小道 跡、手がかり
973. ecology	[名] 生態学 生態系、環境保護
974. sibling	[名] きょうだいの１人
975. ratio	[名] 比率
976. mixture	[名] 混合
977. charm	[名] 魅力 お守り
978. ambition	[名] 願望、野望 野心
979. prominent	[形] 卓越した 目立つ
980. radical	[形] 急進的な 根本的な
981. prompt	[形] 即座の、迅速な
982. informal	[形] 形式ばらない、略式の くだけた
983. mutual	[形] 相互の 共通の
984. neutral	[形] 中立の はっきりしない
985. alert	[形] 警戒して 敏速な
986. magnetic	[形] 磁気の 磁石の、人を引き付ける
987. polar	[形] 極地の 電極の
988. fluent	[形] 流暢な
989. external	[形] 外部の 対外的な
990. passive	[形] 受動的な 消極的な
991. awful	[形] ひどい いやな、ものすごい
992. unrelated	[形] 無関係の 血縁関係のない
993. cruel	[形] 残酷な むごい
994. fake	[形] 偽の 見せ掛けだけの
995. vulnerable	[形] 弱い、もろい 傷つきやすい
996. urgent	[形] 緊急の
997. spiritual	[形] 精神の 霊的な
998. modest	[形] 謙虚な 適度な、質素な
999. keen	[形] 熱心な 鋭敏な、強い
1000. nonetheless	[副] それにもかかわらず
1001. negotiate	[動] 交渉する 交渉して取り決める
1002. grasp	[動] ～を把握する ～をしっかり握る
1003. donate	[動] ～を寄付する ～を提供する
1004. arrest	[動] ～を逮捕する ～を止める、～を引く
1005. crack	[動] ひびが入る ～にひびをいれる
1006. tap	[動] ～を軽くたたく ～を出す、～を盗聴する
1007. split	[動] ～を分割する ～を分担する、分裂する
1008. forecast	[動] ～を予想する
1009. exclude	[動] ～を除外する
1010. overlook	[動] ～を見落とす ～を大目に見る、～を見渡す
1011. burst	[動] 破裂する 突然始める
1012. heal	[動] ～を治す 治る
1013. forbid	[動] ～を禁じる
1014. install	[動] ～をインストールする ～を設置する、～を就任させる
1015. diminish	[動] ～を減らす 減少する
1016. cite	[動] ～を引き合いに出す ～を引用する
1017. quote	[動] ～を引用する ～を引き合いに出す
1018. dispute	[動] ～に異議を唱える 議論する
1019. highlight	[動] ～を目立たせる、強調する
1020. distract	[動] ～をそらす
1021. cheat	[動] ～をだます 不正をする
1022. foster	[動] ～をはぐくむ ～を養育する、～を心に抱く
1023. obey	[動] ～に従う ～に服従する
1024. bend	[動] ～を曲げる ～を屈服させる、曲がる
1025. deprive	[動] ～から奪う
1026. govern	[動] 統治する、支配する
1027. log	[動] ログオンする ～を記録する
1028. transmit	[動] ～を伝える ～を送る
1029. bully	[動] ～をいじめる ～を脅す
1030. leap	[動] 跳ぶ さっと動く、急上昇する
1031. astonish	[動] ～を驚かす
1032. thrill	[動] ～をぞくぞくさせる わくわくする
1033. nod	[動] うなずく 会釈する、うとうとする
1034. bow	[動] おじぎする 屈服する
1035. blend	[動] ～を混ぜる ～を調和させる、～に溶け込む
1036. complicate	[動] ～を複雑にする
1037. pitch	[動] ～を投げる 倒れる、縦揺れする
1038. persist	[動] 続く 固執する
1039. dedicate	[動] ～をささげる ～を献呈する
1040. equip	[動] ～に備え付ける
1041. premise	[名] 前提 構内、敷地
1042. input	[名] 入力、投入 提供
1043. merit	[名] 利点 功績、真価
1044. sympathy	[名] 同情 共感
1045. compliment	[名] 賛辞 表敬
1046. infrastructure	[名] インフラ、基本的施設 経済基盤
1047. ray	[名] 光線 ひらめき、一筋の光明
1048. distress	[名] 苦悩 苦痛、困窮
1049. joint	[名] 関節 接合部
1050. expedition	[名] 遠征、探検
1051. adolescent	[名] 青年
1052. shade	[名] 日陰 色合い、日よけ、微妙な相違
1053. jury	[名] 陪審 審査員団
1054. ethic	[名] 倫理、道徳 倫理規範
1055. penalty	[名] 刑罰 罰金、ペナルティ
1056. faculty	[名] 能力、機能 学部、教授陣
1057. scheme	[名] 計画 体系、陰謀
1058. nutrition	[名] 栄養、栄養の摂取
1059. particle	[名] 微粒子 ほんのわずか
1060. molecule	[名] 分子 微粒子
1061. nationality	[名] 国籍 国民、国民性
1062. poll	[名] 世論調査 投票
1063. clinic	[名] 診療所、クリニック 病院の～科
1064. dementia	[名] 認知症
1065. fatigue	[名] 疲労
1066. dilemma	[名] ジレンマ、板挟み
1067. queue	[名] 順番を待つ列
1068. curve	[名] 道路などのカーブ 曲線
1069. narrative	[名] 物語、話 小説の叙述部分、地の文
1070. fingerprint	[名] 指紋
1071. file	[名] ファイル 書類のとじこみ
1072. wilderness	[名] 荒野 放置された部分
1073. pesticide	[名] 殺虫剤 除草剤
1074. panic	[名] パニック 狼狽
1075. fabric	[名] 織物、布 構造
1076. fantasy	[名] 空想 幻想、幻想的作品
1077. fancy	[名] 好み 空想、思いつき
1078. virtue	[名] 美徳 長所、効能
1079. grateful	[形] 感謝している
1080. valid	[形] 妥当な 有効な
1081. elaborate	[形] 入念な 凝った
1082. moderate	[形] 適度な 穏健な
1083. dynamic	[形] 活動的な、精力的な 動的な
1084. brave	[形] 勇敢な 見事な
1085. brilliant	[形] すばらしい 才能にあふれた、きらめく
1086. tremendous	[形] 途方もない、莫大な すばらしい
1087. oral	[形] 口頭の
1088. innocent	[形] 無罪の 無邪気な、無知の
1089. subsequent	[形] その後の
1090. shallow	[形] 浅い 浅薄な
1091. indifferent	[形] 無関心な
1092. inferior	[形] より劣った
1093. awkward	[形] 気まずい ぎこちない、やっかいな
1094. obese	[形] 肥満した
1095. pregnant	[形] 妊娠した 満ちている
1096. intimate	[形] 親密な 密接な
1097. medieval	[形] 中世の 時代遅れの
1098. sacred	[形] 神聖な 宗教的な、厳粛な
1099. simultaneously	[副] ～と同時に 一斉に
1100. versus	[前] A対B AかBか
1101. proceed	[動] 進む、進行する 続行する
1102. orient	[動] ～を慣らす （受身で）関心などが向いている
1103. surf	[動] インターネットの情報を見て回る サーフィンをする
1104. filter	[動] ～をろ過する、～を取り除く
1105. bind	[動] ～を縛る ～を束縛する、～を結び付ける
1106. resort	[動] 訴える、頼る
1107. reinforce	[動] ～を強化する ～を補強する
1108. accumulate	[動] ～を蓄積する、集める 積る
1109. bet	[動] ～と確信する、断言する （お金などを）かける
1110. advocate	[動] ～を主張する ～を擁護する
1111. constitute	[動] ～を構成する ～になる、～に等しい
1112. undertake	[動] ～を引き受ける ～を保証する、～に着手する
1113. grip	[動] ～を握る ～をとらえる
1114. dismiss	[動] （意見など）を退ける ～を解雇する
1115. fade	[動] 薄れる 衰える
1116. conceal	[動] ～を隠す ～を秘密にする
1117. chew	[動] かむ ～をかみ砕く
1118. swallow	[動] 飲み込む ～をうのみにする、～に耐える
1119. seal	[動] ～を密閉する ～に封をする
1120. migrate	[動] 移住する 鳥などが渡る
1121. exaggerate	[動] 誇張する ～を強調する
1122. accuse	[動] ～を非難する ～を告訴する
1123. vanish	[動] 消える
1124. polish	[動] ～を磨く ～を洗練させる
1125. wipe	[動] ～を拭く ～を拭きとる、～を消し去る
1126. sweep	[動] 掃く ～を一掃する、さっと通過する
1127. mislead	[動] ～を誤解させる、欺く ～を間違った方向へ導く
1128. spoil	[動] ～を台無しにする ～を甘やかす、だめになる
1129. compound	[動] ～を悪化させる ～を合成する、～を混合する
1130. explode	[動] 爆発する 急増する、～を論破する
1131. disgust	[動] ～をむかつかせる ～に愛想を尽かせる
1132. commute	[動] 通勤・通学する
1133. decorate	[動] ～を装飾する
1134. postpone	[動] ～を延期する
1135. cease	[動] ～をやめる 終わる
1136. compromise	[動] 妥協する ～を危うくする
1137. elect	[動] ～を選出する
1138. extract	[動] ～を取り出す ～を抜粋する
1139. inherit	[動] ～を受け継ぐ ～を相続する
1140. rear	[動] ～を育てる
1141. empathy	[名] 感情移入、共感
1142. cue	[名] 合図 手がかり
1143. enterprise	[名] 企業、事業 企画、進取の気性
1144. output	[名] 生産 出力、排出
1145. congress	[名] 議会 会議
1146. millennium	[名] １０００年間
1147. mankind	[名] 人類
1148. Muslim	[名] イスラム教徒
1149. estate	[名] 財産 私有地
1150. landmine	[名] 地雷
1151. caution	[名] 用心 警告
1152. controversy	[名] 論争
1153. consensus	[名] 総意 意見の一致
1154. retail	[名] 小売り
1155. fiber	[名] 繊維 本質、精神力
1156. scent	[名] よい香り 香水
1157. beverage	[名] 水以外の飲み物、飲料
1158. supplement	[名] 栄養補助剤、サプリメント 補足
1159. diabetes	[名] 糖尿病
1160. province	[名] 州、省 地方、分野
1161. reef	[名] 岩や砂の礁 暗礁
1162. microbe	[名] 微生物 細菌
1163. excess	[名] 過剰、超過
1164. gallery	[名] 美術館、画廊 観客、ギャラリー、回廊
1165. fame	[名] 名声
1166. deadline	[名] 締切
1167. undergraduate	[名] 学部学生
1168. slavery	[名] 奴隷制度 苦役
1169. prey	[名] 獲物 犠牲者
1170. mess	[名] 散らかった状態 混乱状態
1171. recession	[名] 不況 後退
1172. retreat	[名] 後退、退却 撤回
1173. grave	[名] 墓 死
1174. column	[名] コラム 欄、円柱、縦列
1175. scenery	[名] 景色 背景
1176. plot	[名] 小説などの筋 陰謀
1177. sculpture	[名] 彫刻
1178. tablet	[名] タブレット 錠剤、平板
1179. dense	[形] 密集した、密度の高い 霧などが濃い
1180. exotic	[形] 外来の 異国風の
1181. acid	[形] 酸性の 酸っぱい、辛辣な
1182. bitter	[形] 苦い、つらい 辛辣な、怒りっぽい
1183. sensible	[形] 賢明な 実用的な、顕著な
1184. noble	[形] 高貴な 堂々とした、高潔な
1185. vague	[形] 漠然とした、あいまいな おぼろげな
1186. parallel	[形] 平行の 類似した
1187. tense	[形] 張りつめた、緊張した
1188. vertical	[形] 垂直の 縦方向の
1189. indigenous	[形] 原産の、先住の 固有の
1190. aboriginal	[形] アボリジニの 原生の、先住の
1191. seasonal	[形] 季節の、季節的な
1192. abundant	[形] 豊富な ～に富む
1193. hybrid	[形] ハイブリッドの 雑種の、混成の
1194. irrelevant	[形] 無関係の 見当違いの
1195. ridiculous	[形] ばかげた 法外な
1196. fairy	[形] 妖精の
1197. sensory	[形] 感覚の
1198. chronic	[形] 慢性の 長引く、常習の
1199. voluntary	[形] 自発的な 無償の
1200. inclined	[形] 傾向がある、傾いた
1201. infer	［動］ ～を推論する、推測する
1202. esteem	［動］ ～を尊敬する ～を見なす
1203. tackle	［動］ ～に取り組む ～と話をつける
1204. venture	［動］ 危険を冒して進む ～を思い切ってする
1205. accelerate	［動］ ～を加速させる、促進する 加速する
1206. accustom	［動］ ～を慣れさせる
1207. amuse	［動］ ～をおもしろがらせる、楽しませる
1208. flourish	［動］ 繁栄する 繁茂する、～を振りかざす
1209. thrive	［動］ 繁栄する、うまくいく 繁茂する
1210. nurture	［動］ ～をはぐくむ ～を養成する
1211. click	［動］ クリックする ～をカチッと慣らす、カチッと音がする
1212. spin	［動］ 回転する ～を回転させる、糸をつむぐ
1213. clip	［動］ ～を切り抜く ～を切り取る、～をクリップで止める
1214. drag	［動］ ～を引きずる ぐずぐずする
1215. cast	［動］ ～を投じる ～に役を当てる
1216. scatter	［動］ ～をまき散らす 分散する
1217. tempt	［動］ ～を気にさせる ～を引き付ける
1218. withdraw	［動］ ～を引き出す ～を撤回する、撤退する
1219. yawn	［動］ あくびをする
1220. blink	［動］ まばたきする 点滅する、目をまたたく
1221. dye	［動］ ～を染める 染まる
1222. spill	［動］ ～をこぼす こぼれる
1223. irritate	［動］ ～をいらいらさせる ～をひりひりさせる
1224. insult	［動］ ～を侮辱する
1225. enforce	［動］ ～を実施する ～に強制する
1226. rob	［動］ ～から奪う
1227. drain	［動］ ～を流出させる 液体が流れ出る
1228. suspend	［動］ ～を停職にする ～を一時的に中断する
1229. drift	［動］ 漂う さまよう、～を押し流す
1230. forgive	［動］ ～を許す ～を免除する
1231. revise	［動］ ～を修正する ～を改訂する
1232. recruit	［動］ ～を募る ～に新人を補充する
1233. twist	［動］ ～をねじる、ひねる ～を歪曲する
1234. crush	［動］ ～を押しつぶす ～を弾圧する、～を絞り出す
1235. pin	［動］ ～をピンでとめる ～を突き刺す
1236. uncover	［動］ ～を暴く ～を発掘する
1237. exploit	［動］ ～を活用する ～を搾取する、～につけこむ
1238. implement	［動］ ～を実行する
1239. integrate	［動］ ～を統合する 融合する
1240. incorporate	［動］ ～を取り入れる ～を法人にする、合併する
1241. profile	［名］ 人物の紹介 横顔、輪郭
1242. appetite	［名］ 食欲 欲求
1243. impulse	［名］ 衝動 刺激
1244. script	［名］ 台本 筆跡
1245. anniversary	［名］ 記念日
1246. pension	［名］ 年金
1247. temper	［名］ 気質、気性 機嫌、癇癪
1248. cortex	［名］ 皮質 樹皮
1249. syndrome	［名］ 症候群 ～現象
1250. chamber	［名］ 部屋 議場、議院
1251. utility	［名］ 公共事業 公共料金、実用性
1252. cattle	［名］ 牛
1253. herd	［名］ 牛などの群れ 群衆
1254. fluid	［名］ 流動体、液体
1255. pity	［名］ 残念なこと 憐み
1256. priest	［名］ 聖職者
1257. acquaintance	［名］ 知人 面識、知識
1258. offspring	［名］ 子孫、子 成果
1259. famine	［名］ 飢饉
1260. deforestation	［名］ 森林伐採
1261. jail	［名］ 刑務所、拘置所
1262. commodity	［名］ 商品 有用なもの
1263. format	［名］ 書式、形式 本などの型
1264. recipient	［名］ 受け取る人 被提供者
1265. drill	［名］ 訓練 練習、ドリル、錐
1266. inability	［名］ 無能、無力
1267. republic	［名］ 共和国 共和制
1268. combat	［名］ 戦闘 対立
1269. debris	［名］ 破壊された後の残骸、瓦礫 がらくた
1270. bug	［名］ 病原菌 虫、盗聴器、欠陥
1271. fraction	［名］ わずか、一部 分数
1272. index	［名］ 指標 索引、指数
1273. intuition	［名］ 直感、直観
1274. motive	［名］ 動機
1275. consent	［名］ 同意、承諾
1276. hierarchy	［名］ 社会の階層性 支配層
1277. monument	［名］ 記念碑、遺跡 金字塔
1278. asset	［名］ 資産 価値のあるもの、利点
1279. decent	［形］ まずまずの きちんとした、上品な
1280. competent	［形］ 有能な 適任の、満足できる
1281. straightforward	［形］ 単純な 率直な
1282. cosmetic	［形］ 化粧の、美容の うわべの
1283. delicate	［形］ 繊細な 扱いにくい、もろい
1284. interior	［形］ 室内の 内部の
1285. transparent	［形］ 透明な 明快な
1286. aesthetic	［形］ 美的な 美学の
1287. deliberate	［形］ 故意の 慎重な
1288. demographic	［形］ 人口統計学の
1289. prehistories	［形］ 有史以前の 旧式な
1290. innate	［形］ 生まれながらの 固有の
1291. mild	［形］ 穏やかな 軽い
1292. toxic	［形］ 有害な 中毒性の
